month,hour,year,location,operator,route,type,aboard,fatalities,summary
4,7,1981,"Pekanbaru, Indonesia",Airfast Indonesia,,Douglas C-47A-5-DK,17,15,Crashed during final approach. Hudbay Oil Co. charter.
5,10,1981,"Near Fredrick, Maryland",Military - U.S. Air Force,Training,Boeing EC-135N,21,21,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft."
5,10,1981,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,BAC One-Eleven 529FR,31,31,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.
5,15,1981,"Near Guachala, Ecuador",Military - Ecuadorean Air Force,Quito - Macara,Beech Super King Air 200/DHC6-Twin Otter,27,27,Crashed and burned after a mid-air collision over mountainous terrain in rain and fog.  Nine killed aboard the Beech and 16 aboard the Twin Otter.
5,16,1981,"Avalon, California",Shanair Inc. - Air Taxi,"Avalon, CA - Visalia, CA",Beechcraft 58,3,2,"After taking off the plane circled three time at a low altitude. On the third pass the aircraft experienced a slow roll, the nose dropped and the plane crashed into the water. Unwarranted low flying. Misjudged speed and exercised poor judgment."
6,18,1981,"Muskegon, Michigan",G & W Aviation,"Muskegon, MI - Pontiac, MI",Cessna 401,5,5,The aircraft experienced engine failure on takeoff and crashed. Power plant failure for reasons unknown. Improper emergency procedures.
7,15,1981,"Near Yerevan, Armenia",TAR,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,4,4,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.
7,12,1981,"Kansas City, Kansas",Air Taxi,"Kansas City, MO - York, NE",Beechcraft 58TC,4,4,The aircraft experienced an uncontrolled descent shortly after taking off. Left and right elevator trim actuators reversed during installation. Elevator trim arms extended 23 degrees nose down.
8,19,1981,"Skagway, Alaska",Skagway Air Service - Air Taxi,"Skagway, AK - Local",Piper PA-32,6,6,"The aircraft's right wing impacted a boulder while exiting the mouth of a 3,000 ft. canyon while in a 45 degree bank. Pilot misjudged altitude and clearance."
8,10,1981,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,Taipei - Kaohsiung,Boeing B-737-222,110,110,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.
8,20,1981,"Zeya, Russia",Aeroflot,Chita - Zeya,Yakovlev YAK-40,34,3,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground."
9,12,1981,"Near Babaeski, Turkey",Military - Turkish Air Force,,Northrop F-5A,0,0,The fighter crashed into a village after the pilot ejected from the plane.
9,19,1981,"Tehran, Iran",Military - Iranian Air Force,Ahwaz - Tehran,Lockheed C-130H,60,60,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.
10,15,1981,"Casper, Wyoming",Sky Train Air,"Casper, WY - McAllen, TX",Learjet 24,3,3,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected."
10,17,1981,"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,17,17,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.
10,18,1981,"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,5,5,After executing a turn to avoid traffithe cargo plane struck the ocean. Pilot misjudged the altitude and clearance.
11,21,1981,"Mount Pocono, Pennsylvania",Moyer Aviation - Air Taxi,"Millinocket, ME - Mount Pocono, PA",Piper PA-32,4,4,Collided with trees on final approach. Improper IFR operation. Failed to follow approved procedures.
11,19,1981,"Norilsk, Russia",Aeroflot,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,167,99,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.
12,8,1981,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,180,180,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air trafficontroller.
12,19,1981,"Honolulu, Hawaii",Private - Parajump air show,"Haliive, HI  - Honolulu, HI",Beech C-45H,12,11,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity."
12,16,1981,"Tyonek, Alaska",Spernak Airways - Air Taxi,"Tyonek, AK - Anchorage, AK",Cessna 207A,4,4,Crashed into water during initial climb. Probable cause unknown.
12,13,1981,"Mt. McKinley, AK",Hudson Air Service - Air Taxi,"Talkeetna, AK - Return",Cessna 185,4,2,The aircraft encountered downdrafts while approaching mountain pass and crashed.
12,13,1981,"Near Covenas, Colombia",ACES Colombia,,de Havilland Canada DHC-6 Twin Otter 300,13,13,Struck high ground.
12,20,1981,"Durango, Colorado",Sun West Airline - Air Taxi,"Albuquerque, NM - Durango, CO",Piper PA-31,6,4,The pilot failed to execute a successful missed approach for unknown reasons and crashed.
1,16,1982,"Washington, D.C.",Air Florida,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,79,74,"The aircraft crashed into the 14th St. bridge and the PotomaRiver and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor."
1,19,1982,"Logan Airport,  Boston, Massachusett",World Airways,"Newark, NJ - Boston, MA",McDonnell Douglas DC-10-30CF,212,2,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident."
2,7,1982,"Djibouti, Djbouti",Military - French Air Force,,Nord 2501 Noratlas,35,35,Crashed into a mountain before a planned paratroop drop.
2,15,1982,"Island of Cheju, South Korea",Military - Republiof South Korea Air Force,,Fairchild C-123,53,53,Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear.
2,8,1982,"Tokyo, Japan",Japan Air Lines,Fukuoka - Tokyo,McDonnell Douglas DC-8-61,174,24,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him."
2,15,1982,"Providence, Rhode Island",Pilgrim Airlines,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,12,1,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.
3,13,1982,"Mehamn, Norway",Wideroe's Flyveselksap,Berlevag - Mehamn,de Havilland Canada DHC-6 Twin Otter 300,15,15,"The aircraft crashed while on a flight from Berlevåg to Mehamn after the failure of the tail fin and rudder in moderate turbulence.  Overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. There is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a British NATO Harrier jet fighter."
3,10,1982,"Leesburg, Florida",Private,None,Beechcraft Bonanza F35,3,3,"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles."
3,21,1982,"Near Woodstock, Illinois",Military - U.S. Air Force,,Boeing KC-135C,27,27,"Crashed 40 miles northwest of Chicago O'Hare Airport where it was to have landed. Exploded and dove in an almost vertical attitude from a height of 13,700 ft. into a wooded area, exploded and burned. Most probably overpressurization under the cargo floor and ignition of fuel vapor."
4,17,1982,"Near Tanana, Alaska",Air Taxi,"Banddanack, AK - Fairbanks, AK",Hughes 369D,3,3,The aircraft crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.
4,14,1982,"Near Erzurum, Turkey",Military - U.S. Air Force,Erzurum - Incirlik,Lockheed C-130H,27,27,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.
4,16,1982,"Near Yangshuo, Guangxi, China",CAAC,Guangzhou - Guilin,Hawker Siddeley Trident 2E,112,112,The aircraft struck a mountain in heavy rain during a landing attempt.
4,21,1982,"Hakalau, Hawaii",Air Taxi,"Hilo, HI - Honalulu, HI",Beechcraft E18S,2,2,"The aircraft departed Hilo on the last leg of a 3rd flight. A few minutes after takeoff, the pilot called the tower to ask for a return and indicated he had a difficulty. No further transmission was made. Witnesses heard intermittent engine sputtering and then the whine of a high speed dive. The aircraft impacted in a sugar cane field at a steep angle. Reason for occurrence undetermined."
5,19,1982,South AtlantiOcean,Military - Royal British Navy,,Westland Sea King HC-4 (helicopter),30,21,"The helicopter, carrying troops from one ship to another during the Falkland Islands war, crashed into the AtlantiOcean. Possible bird strike or component failure."
6,14,1982,"Near Songnam-si, South Korea",Military - Republiof South Korea Air Force,,Fairchild C-123,53,53,Crashed in poor weather conditions after taking off with paratroopers.
6,2,1982,"Near Pacatuba, Brazil",VASP,Rio de Janerio - Fortaleza,Boeing B-727-212A,137,137,"The aircraft crashed into a 2,500 ft. mountain (Serra da Aratanha) during an approach in heavy rain and fog. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. Non-observance of air traffiand carrier's procedures."
6,20,1982,"Mount Galunggung, Indonesia",British Airways,Kuala Lampur - Perth,Boeing B-747,257,0,"The aircraft flew into a plume from a volcanieruption at 37,000 feet during the night. All engines failed and the windshield lost transparency because of pitting. The first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at Jakarta. The aircraft was named 'City of Edinburgh.'"
6,10,1982,"Southern Belarus, USSR",Aeroflot,Leningrad - Kiev,Yakovlev YAK-42,132,132,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear."
7,0,1982,"Near Moscow, Russia",Aeroflot,,Ilyushin IL-62M,90,90,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.
7,16,1982,"Kenner, Louisiana",Pan American World Airways,New Orleans - Las Vegas,Boeing B-727-235,145,145,"The aircraft crashed during a thunderstorm, 29 seconds after taking off from New Orleans International Airport. The plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. Microbust induced windshear. Limited capability of current ground-based low-level windshear detection technology. The aircraft was named 'Clipper Defiance.'"
7,20,1982,"Oxbow, Oregon",Air Taxi,"Imnaha, OR - Fort Fairfield, ME",Cessna 172F,4,4,"During the final approach the aircraft was observed to descend to approximately 50 feet above the river and then execute a pullup and begin a left turn to either reenter a left downwind or reverse the direction of landing. The pilot lost control, the left wing dropped, the nose pitched down and the aircraft impacted the ground at the river's edge. Inadvertent stall by the pilot in command. Aircraft's weight and balance exceeded limits."
7,2,1982,"Castaic, California",Western Helicopter,Movie set,Bell UH-1B Huey Helicopter,1,0,"During the filming of 'Twilight Zone, The Movie', a helicopter crashed, killing actor ViMorrow, 53, and two child actors. The helicopter was hovering low over a make believe Vietnamese village when an explosive charge from the special effects hit the tail rotor of the helicopter sending it crashing to the ground. One child, Rene Chen, 6, was crushed to death with the right skid. ViMorrow and the other child, Myca Dinh Le, 7, were decapitated. Criminal charges against the production company were eventually dismissed in a much publicized trial. The civil trial ended in awards of 2 million dollars to the families of each of the children and $700,000  to the estate of ViMorrow."
7,16,1982,"Near Sitka, Alaska",Air Taxi,"Sitka, AK - Warm Springs, AK",Cessna A185F,4,4,Impacted the side of a mountain shortly after taking off. Improper in-flight planning. Proper alititude not maintained. Improper use of flight controls.
8,4,1982,"Concord, New Hampshire",Air Taxi,"Groton, CT - Concord, CT",Piper PA-28-161,2,2,Collided with trees on approach. Weather briefing recommended no VFR flight. VFR flight into IFR conditions.
8,9,1982,"Near Managua, Nicaragua",Military - Nicaraguan Air Force,Managua - El Rodeo,Arava 201,20,20,Rolled to the right and crashed from an altitude of 500 ft. shortly after becoming airborne.
8,14,1982,"Knotsville, Tennessee",Military - U.S. Air Force,Training,Lockheed C-141B,9,9,Impacted a mountain.
9,12,1982,"Near Mannheim, West Germany",Military - U.S. Army,,Boeing Vertol CH-47C (helicopter),46,46,Crashed after experiencing catastrophimechanical failure and separation of one of the rotors. The aircraft was carrying French and German sky divers as part of Mannheim's 375 birthday celebration. Bearing failure in the forward transmission pack.
9,12,1982,"Near Malaga, Spain",Spantax,Malaga - New York City,McDonnell Douglas DC-10-30CF,394,50,The aircraft crashed during takeoff after intense vibration caused by a blown retreaded tire. The crew aborted the takeoff above VR and overran the runway. They also  failed to apply reverse thrust symmetrically.
9,9,1982,"Near Nondalton, Alaksa",Air Taxi,"Nondalton, AK - Port Alsworth, AK",Robertson C-U206F,5,4,Shortly after takeoff from Hudson Lake the left wingtip contacted the water causing the aircraft to cartwheel. The aircraft came to rest inverted & floated for a short time before sinking. Poor judgement by the pilot in command. Unfavorable wind and weather conditions.
9,11,1982,"Near Kotzbue, Alaska",Air Taxi,"Kiana, AK - Kotzebue, AK",Cessna U206G,6,4,"The aircraft engine lost power over water of Hotham Inlet. Due to low altitude, the pilot had to ditch the aircraft. The aircraft sank almost immediately. Because of pilot's radio call two passengers were rescued. Reason for occurrence undetermined"
11,22,1982,"Cullman, Alabama",Air Taxi,"Cullman, AL - Louisville, KY",Beechcraft 95-B55,2,2,"After takeoff from Runway 1, the aircraft was observed to climb in a steep attitude into the clouds. The aircraft crashed in a near vertical attitude about 3/4 mi from the runway on a bearing of 050 degrees. Reason for occurrence undetermined."
12,22,1982,"Douglassville, Pennsylvania",Air Taxi - Basco Flying Service Inc.,"Philadelphia, PA - Pottstown, PA",Piper PA-32-260,5,3,The pilot made an approach at Douglassville to the missed approach point where the pilot lost sight of the beacon. He began to make a missed approach. When the pilot advanced the throttle no increased engine noise was heard. The plane continued to lose speed until it crashed into trees at 440 Ft. MSL. For reasons undetermined.
12,19,1982,"Near Pueblo, Colorado",Pioneer Airlines,"Sante Fe, NM - Pueblo, CO",Swearingen SA.227AC Metro III,2,2,The cargo plane flew into a hill while descending to land. The pilot may have had a physical imparement.
12,13,1982,"La Serena, Chile",Aeronor Chile,Santiago - La Serena,Fairchild F-27J,46,46,"While on approach, the aircraft suddenly banked to the left and went into a steep descent and crashed.  Inadequate flight procedures by the pilot in command after experiencing a loss of power in the left engine.  Inadequate flight planning by the pilot-in-command in coordinating the adoption of measures and applying procedures to successfully remedy a stall condition caused by total loss of power in the left engine when the aircraft was flying at low altitude on final approach to land."
12,c14:30,1982,"Near San Andres de Bocay, Nicaragua",Military - Nicaraguan Air Force,,Mil Mi-8 (helicopter),88,84,Shot down by Sandinistan rebels.
12,13,1982,"Near Klawock, Alaksa",Air Taxi - Tyee Airlines Inc.,"Ketchikan, AK - Craig, AK",de Havilland DHC-2,8,8,Took off and crashed into rising terrain in fog. Improper inflight planning by pilot in command. Clouds and fog prevailed at the time.
12,18,1982,"Defiance, Ohio",Air Taxi - Custom Air Transport Inc.,"Columbus, OH - Difiance, OH",Cessna T210,2,2,The aircraft crashed during a non-precision approach in weather that was below minimums for that type of approach. Minimum descent altitude.not maintained by pilot in command.
1,2,1983,"Detroit, Michigan",United Air Lines,Detroit - Los Angeles,McDonnell Douglas DC-8-54F37,3,3,"After taking off the cargo plane rolled to the right with wings vertical to the ground until it crashed into a field. The flight crew's failure to follow procedural checklist requirements and to detect and correct a mistrimmed stabilizer before the aircraft became uncontrollable. Contributing to the accident was the captain allowing the second officer, who was not qualified to act as a pilot, to occupy the seat of the first officer and to conduct the take-off."
2,23,1983,"Brooksville, Florida",Air Taxi,"Tallahssee, FL - Lakeland, FL",Piper PA-32-301,2,2,The aircraft disappeared after entering an area of severe turbulence. Excessive airspeed for area of turbulence. Exceeded design stress limits of aircraft.
3,7,1983,Barquisimeto Venezuela,Avensa,Caracas - Barquisimeto,McDonnell Douglas DC-9-32,50,23,"The aircraft landed past the runway threshold, experienced a hard landing in fog, slid off the runway and broke up. Improper in-flight decisions and inadequate supervision of the flight."
3,2,1983,"Jeffersonville, Georgia",Air Taxi,"Jacksonville, FL - Atlanta, GA",Mitsubishi MU-2B-60,4,4,The aircraft entered a high speed dive for reasons unknown and crashed. Exceeded design limits of aircraft.
3,5,1983,"Newark, New Jersey",Central Airlines,Chicago - Newark,Learjet 25,2,2,"While attempting to land, the cargo plane came in too steep and fast, bounced on landing, crashed and burned. Loss of control following ground contact due to anunstabilized approach. Impairment of the flightcrew's judgment, decision making and flying abilities by a combination of physioIogical and psychological factors."
4,14,1983,"Selawik, Alaska",Munz Northern Airlines,Nome - Ambler,Britten-Norman BN-2A-8 Islander,3,2,Lost control of the aircraft and crashed in a snow storm. Continued VFR flight in IFR conditions.
4,18,1983,"Leninakan, Russia",Aeroflot,Nalchik - Leninakan,Yakovlev YAK-40,21,21,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.
4,7,1983,"Near Toba, Japan",Japan Air Self-Defence Force,,Kawasaki C-1 / Kawasaki C-1,14,14,"Both aircraft, flying in tandem, crashed into the side of a mountain. A third aircraft brushed trees and managed to remain airborne."
4,17,1983,"Iwakuni AB, Japan",Military - Japan Maritime Self Defense Force,,PS-1,14,11,Crashed near an ammo depot.
4,15,1983,"Guayaquil, Ecuador",SAN Ecuador,Guayaquil - Quito,Sud Aviation SE-210 Caravelle VIR,100,8,One of the aircraft's engines failed shortly after takeoff and the plane landed heavily on muddy ground and broke in three.
5,9,1983,"En route Miami, FL - Nassau, Bahamas",Eastern Air Lines,"Miami, FL - Nassau, Bahamas",Lockheed L-1011,172,0,"Procedural error by maintenance crew caused O-ring seal to be left off all three engines, causing all oil to leak out in flight. One engine shut down at first sign of trouble, followed by failure of other two engines. First engine restarted at an altitude of 3,000 feet and ran long enough to make a safe landing at Miami 9 minutes later."
5,10,1983,"Near Ban Ta Khli, Thailand",Military - Royal Thai Air Force,,Fairchild C-123K,30,30,The aircraft was preparing to land at Ban ta Khli Air Base when it was waved off because the runway was not clear. The plane plunged to earth 700 ft. past the runway. Engine failure was suspected.
6,19,1983,"Cincinnati International Airport, Covington/Hebron, Kentucky",Air Canada,Dallas-Fort Worth - Toronto,McDonnell Douglas DC-9-32,46,23,"The plane was on a flight from Houston to Toronto with an intermediate stop at Dallas - Fort Worth.  An in-flight fire in the rear lavatory, of unknown origin, forced the plane to make an emergency landing at Cincinnati International Airport. Fatalities occurred from smoke inhalation and a flash fire that erupted when exit doors were opened. Underestimation of the fire severity and conflicting fire progress reports to the captain delayed a quicker emergency landing. Canadian folk singer Stan Rogers, 33,  killed. He was going home after attending the Kerrville Folk Festival in Texas. He died in the fire while helping other passengers to safety."
6,13,1983,"Cape Town, South Africa",Linair Express,Cape Town - Johannesburg,Cessna 402B,9,7,Crashed onto a road after taking off.
6,12,1983,"Off Quemoy, Taiwan",Military - Republiof China Air Force,,Fairchild C-199G,47,47,The domestiflight crashed into the Formosa Strait after the right engine caught fire shortly after taking off.
6,10,1983,"Cortez, Colorado",Air Taxi - Four Corners Aviation Inc.,"Blanding, UT - Farnington, New Mexico",Cessna U206,5,2,Pilot became disoriented in clouds and impacted rising terrain in a nose up attitude. Continued VFR flight in adverse weather. Pilot was not instrumented rated.
7,7,1983,"Near Cuenca, Azuay, Ecuador",TAME,Quito - Cuenca,Boeing B-737-2V2,119,119,"The jetliner scraped a mountian peak, exploded in flames and slid down a ravine coming to rest at the foot of a mountain. The plane was attempting to land in the Andean city of Cuenca. Under-qualification of pilot."
7,19,1983,"Gimli, Manitoba, Canada",Air Canada,Ottawa - Edmonton,Boeing B-767-233ER,69,0,"The aircraft took off from Ottawa bound for Edmonton with less than half the fuel required to make the trip. A computer known as the 'Fuel Quantity Information System Processor'  was not working properly so the ground crew made manual calculations for the amount of needed fuel. However, they used pounds/liter for the specifigravity factor instead of kilograms/liter. This was first model of aircraft of Air Canada to use kilograms. The aircraft ran out of fuel at 41,000 feet. With only standby instruments (magneticompass, artificial horizon, airspeed indicator and altimeter) and no slats or flaps, the plane landed safely on a 7,200 ft. runway at Gimli, a former Air Force base converted into a racing drag strip. The plane became known as the 'Gimli Glider.'  The TV movie Falling from the Sky: Flight 174 was made about this incident in 1995."
8,17,1983,"Evart, Michigan",Air Taxi - Northern Air Services Inc.,,Beechcraft G18S,2,2,The aircraft collided with a power pole and trees during a forced landing after a power loss on takeoff. Reason for occurrence unknown.
8,12,1983,"Grand Canyon, Arizona",Las Vegas Airlines,"Las Vegas, NV  - Grand Canyon, AZ",Piper PA-31-350 Chieftain,10,10,Crashed into a cliff in the Grand Canyon on a sightseeing flight.
8,23,1983,"Near Alma-Ata, Kazakastan, USSR",Aeroflot,Kazan - Chelyabinsk - Alma-Ata,Tupolev TU-134A,90,90,Crashed an burned after striking mountain  while attempting to land. Procedural errors.
9,18,1983,"Near Sakhalin Island, Russia",Korean Airlines,Anchorage - Seoul,Boeing B-747-230B,269,269,"On a flight from Alaska to South Korea, the airliner drifted off course and twice penetrated Soviet airspace.  During the second penetration, the airliner was shot down by a Russian Su-15 Air Force fighter with air-to-air missiles. The aircraft crashed into international waters in the Sea of Japan. U.S. Representative from Georgia Lawrence McDonald killed."
9,9,1983,"Guilin, China",CAAC,Guilin - Beijing,Hawker Siddeley Trident 2E /  II-28,106,11,Collided with a Chinese Air Force aircraft while taxing.
9,15,1983,"Near Mina Jebel Ali, UAE",Gulf Air,Karachi - Abu Dhabi,Boeing B-737-2P6,112,112,Crashed  into the desert after a distress message and during an emergency landing attempt. Detonation of an explosive device in the baggage compartment.
9,19,1983,"Flagstaff, Arizona",Air Taxi,"Flagstaff, AZ - Mesa, AZ",Cessna TU206C,2,2,The aircraft collided with trees shortly after takeoff. The pilot because disoriented and experienced spatial disorientation.
10,12,1983,"Springfield, Missouri",Air Taxi - Ozark Skyways Inc.,"Little Rock, AR - Springfield, MO",Cessna 182R,4,4,"While on final approach the aircraft hit tree tops and crashed 1,200 ft. short of the runway. Procedures not followed. The pilot in command did not use decision height."
10,20,1983,"Pinckneyville, Illinois",Air Illinois,"Springfield, Il - Carbondale, IL",Hawker Siddeley HS-748-FAA,10,10,"Two minutes out of Springfield, the left generator suffered a complete mechanical failure. The first officer mistakenly shut down the right generator and all attempts at bring it back to life failed. Although the plane could be flown safely on batteries for about 30 minutes the captain decided to continue on towards Carbondale, thirty-nine minutes away. The batteries lasted for thirty-one minutes. The aircraft lost all power, turned blindly 180 degrees and crashed in a rural area."
10,13,1983,"Middletown, Pennsylvania",Pennsylvania Airlines,Middletown - Washington DC,Shorts 330-200,30,1,"A passenger committed suicide by opening the right rear door and jumping out at 3,500 ft."
11,15,1983,"Lubango, Huila, Angola",TAAG Angola Airlines,Lubango - Luanda,Boeing B-737-200,130,130,The airliner crashed immediately after takeoff.  Shot down by rebels with a surface to air missile.
11,15,1983,"Midland, Texas",Air Taxi,"Wichita, TX - Midland, TX",Beechcraft B-100,8,8,"Witnesses observed what appeared to be a normal approach, but at 30 to 50 ft. agl, the pilot initiated a go-around, the aircraft pitched up in an extremely nose high attitude, then entered a left bank, stalled & crashed. Reasons for occurrence undetermined."
11,10,1983,"Madrid-Barajas, Spain",AVIANCA,Paris - Madrid - Bogota,Boeing B-747-283B,192,181,"While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named 'Magnus Viking,' LN-RNA and dry-leased from SAS."
12,9,1983,"Near Madrid, Spain",Iberia Airlines / Aviaco,Madrid - Rome,Boeing B-727-200 / DC9-32,135,93,"While taking off, the B-727 struck the DC-9 on the runway in poor visibility, fog and snow. Because of poor visibility and inadequate signs and markings the, DC-9 inadvertently wandered on the runway being used by the B-727 to take off. The airport had no ground radar. Fifty-one aboard the 727 and all 42 aboard the DC-9 were killed. Mexican actress,  María 'Fanny Cano' Damián, 39, among those killed."
12,21,1983,"Put-In-Bay, Ohio",Air Taxi - Island Airlines,"Put-In-Bay, OH - Kelly's Island, OH",Cessna 207,4,4,
12,15,1983,"Near Medellin, Colombia",TAMPA Colombia,Medellin - Miami,Boeing 707-373C,3,3,"After liftoff, the aircraft entered a 90 degree bank, struck power lines and crashed into buildings. Failure of the No.3 engine during a climb out with the No.4 engine operating at idle."
12,13,1983,"Paulatuk, Northwest Territory, Canada",Inuvik Coastal Airways,Inuvik - Paulatuk,de Havilland Canada DHC-6 Twin Otter 200,12,2,The left wing contacted the ground after the pilot attempted a go-around. The plane cartwheeled and crashed. Runway is not oriented to correspond with the prevailing winds. The aircraft was overloaded by 840 lbs and was below that prescribed to take off. Lack of weather forcast.
1,22,1984,"Saint Louis, Missouri",Skycraft Air Transport,"Saint Louis, MO - Toronto, Canada",Douglas DC-3,2,1,"The attempts at taking off failed because of poor engine performance. On the third try power was lost in both engines and an emergency landing was attempted on a highway. The left wing struck a light pole. Jet-A fuel was used when refueling the aircraft, instead of aviation gas."
1,6,1984,"Terre Haute, Indiana",Britt Airways,Training,Swearingen SA.226TC Metro II,3,3,The aircraft entered a steep after taking off and crashed to the ground. Undetermined cause.
2,16,1984,"JFK Airport, New York, New York",Scandinavian Airlines (SAS),"Oslo, Norway, New York, NY",McDonnell Douglas DC-10-30,177,0,"While attempting to land at JFK, New York, the aircraft touched down 4,700 feet beyond the threshold, slid off end of runway and came to rest in a tidal waterway. The crew's disregard for prescribed procedures for monitoring and controlling of airspeed during the final stages of the approach and decision to continue the landing rather than to execute a missed approach. Overreliance on the autothrottle speed control system which had a history of recent malfunctions."
2,19,1984,"Near Borja, Spain",Military - U.S. Air Force,,Lockheed C-130E,18,18,Struck the face of a mountain as it made a low-level suppy drop during a training mission.
